gene_ID,Fishers_sym
isogroup17952,0
isogroup17953,1
isogroup17956,0
isogroup17957,0
isogroup17961,1
isogroup17965,1
isogroup17967,1
isogroup17969,0
isogroup17970,1
isogroup17971,0
isogroup17972,0
isogroup17973,0
isogroup17975,0
isogroup17976,0
isogroup17979,0
isogroup1798,0
isogroup17981,0
isogroup17987,0
isogroup1799,1
isogroup18004,0
isogroup1801,0
isogroup18011,0
isogroup18012,0
isogroup18028,0
isogroup18031,0
isogroup18038,0
isogroup18042,0
isogroup18046,0
isogroup18060,1
isogroup1810,1
isogroup18104,0
isogroup18120,0
isogroup1814,0
isogroup18146,0
isogroup18149,1
isogroup18152,1
isogroup18160,0
isogroup18168,1
isogroup18181,0
isogroup18183,0
isogroup18191,0
isogroup18193,1
isogroup18195,1
isogroup182,1
isogroup1820,0
isogroup1821,0
isogroup18216,0
isogroup18230,0
isogroup18232,1
isogroup18237,0
isogroup18271,0
isogroup1830,0
isogroup18303,0
isogroup1831,1
isogroup18328,1
isogroup1833,0
isogroup18353,0
isogroup18355,0
isogroup18364,0
isogroup18368,1
isogroup18376,0
isogroup1838,1
isogroup18384,0
isogroup18385,0
isogroup18392,0
isogroup18407,0
isogroup1841,0
isogroup18419,1
isogroup18420,0
isogroup18423,1
isogroup18425,0
isogroup18432,1
isogroup18435,0
isogroup18448,0
isogroup18452,1
isogroup18453,0
isogroup18458,1
isogroup18459,1
isogroup18463,0
isogroup18464,1
isogroup18466,0
isogroup18470,0
isogroup18476,0
isogroup18477,0
isogroup18480,0
isogroup18492,0
isogroup18495,0
isogroup18498,0
isogroup18500,0
isogroup18505,1
isogroup18510,0
isogroup18513,1
