	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.002375	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002378	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002379	0	0	0	1	0	0	0	0	0	0	
symbB.v1.2.002381	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.002382	0	0	0	0	0	0	1	0	1	0	
symbB.v1.2.002391	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002396	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002401	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002405	0	0	0	0	0	0	0	2	1	0	
symbB.v1.2.002412	0	0	0	0	0	0	1	1	0	0	
symbB.v1.2.002415	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002431	0	0	0	0	0	0	1	1	0	0	
symbB.v1.2.002460	0	0	0	0	1	0	1	0	0	0	
symbB.v1.2.002462	1	1	1	2	1	0	5	1	5	0	
symbB.v1.2.002478	17	26	30	37	18	35	26	19	16	24	
symbB.v1.2.002486	0	0	0	0	0	0	0	1	0	1	
symbB.v1.2.002502	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002509	0	0	0	0	0	0	1	2	0	0	
symbB.v1.2.002511	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002532	3	0	2	1	0	1	3	3	0	1	
symbB.v1.2.002541	4	6	2	5	3	1	7	5	2	2	
symbB.v1.2.002569	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002596	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002611	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002620	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002625	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002635	0	3	3	0	2	1	4	1	1	3	
symbB.v1.2.002650	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002672	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.002688	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.002706	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002734	0	0	0	0	0	0	1	2	0	0	
symbB.v1.2.002735	0	0	1	0	1	0	0	0	1	0	
symbB.v1.2.002737	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002739	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002740	0	0	0	1	0	0	0	3	0	1	
symbB.v1.2.002744	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002745	7	6	3	3	4	4	4	1	3	3	
symbB.v1.2.002748	1	0	1	2	2	1	1	0	2	0	
symbB.v1.2.002752	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002755	0	0	0	0	0	0	0	2	0	0	
symbB.v1.2.002763	2	0	0	0	0	0	2	0	1	1	
symbB.v1.2.002765	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002773	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002774	0	0	0	0	0	0	2	0	0	0	
symbB.v1.2.002827	0	0	0	0	0	0	1	1	0	1	
symbB.v1.2.002829	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002838	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002848	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.002853	0	0	0	0	0	0	0	2	0	0	
symbB.v1.2.002856	0	0	0	0	0	0	0	0	0	2	
symbB.v1.2.002857	0	2	0	0	0	0	0	1	0	0	
symbB.v1.2.002860	1	2	1	0	1	2	0	1	1	3	
symbB.v1.2.002867	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.002877	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002881	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002892	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002919	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002924	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002953	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.002960	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.002970	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.003004	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003005	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003013	0	1	1	0	1	0	2	0	1	1	
symbB.v1.2.003014	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003022	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.003040	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003043	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.003059	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003071	3	7	7	4	4	1	4	5	3	2	
symbB.v1.2.003092	0	1	1	1	0	0	0	0	0	1	
symbB.v1.2.003100	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003110	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003121	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003129	0	0	0	0	0	1	0	0	0	0	
symbB.v1.2.003132	0	0	0	1	0	0	0	0	0	0	
symbB.v1.2.003137	0	0	0	0	0	1	0	1	1	0	
symbB.v1.2.003149	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003159	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003162	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003173	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003180	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003186	0	1	0	0	0	0	1	0	0	0	
symbB.v1.2.003193	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.003199	0	1	0	0	0	0	1	1	0	0	
symbB.v1.2.003216	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003226	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003227	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.003228	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003236	1	0	0	1	1	1	0	0	0	0	
symbB.v1.2.003244	0	0	0	0	0	0	2	0	1	0	
symbB.v1.2.003247	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.003256	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003257	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003269	0	0	0	0	1	0	1	0	0	0	
symbB.v1.2.003270	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003296	1	0	0	0	0	1	0	1	0	0	
symbB.v1.2.003308	8	10	6	6	8	5	7	16	5	12	
symbB.v1.2.003322	6	16	17	8	12	4	10	11	18	12	
symbB.v1.2.003324	2	2	3	2	2	3	2	3	2	2	
symbB.v1.2.003340	0	1	0	0	0	0	1	0	0	0	
symbB.v1.2.003346	0	0	0	0	0	0	3	0	0	0	
symbB.v1.2.003359	1	1	0	0	0	0	0	0	0	0	
symbB.v1.2.003360	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003361	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003362	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003369	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003370	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003379	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003391	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003393	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.003413	8	12	8	1	4	6	3	10	7	4	
symbB.v1.2.003418	0	1	1	1	0	0	0	0	0	0	
symbB.v1.2.003419	0	0	0	0	1	2	0	0	2	1	
symbB.v1.2.003420	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003426	1	1	0	0	0	0	0	1	1	2	
symbB.v1.2.003430	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.003444	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003453	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003457	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003462	1	0	0	0	0	0	0	0	0	0	
