	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene10489.mRNA1	1	0	1	0	1	0	1	2	0	1	
Slin_CCMP2456.gene1049.mRNA1	2	3	3	1	0	1	5	1	0	3	
Slin_CCMP2456.gene10490.mRNA1	1	0	1	0	0	1	1	0	1	0	
Slin_CCMP2456.gene10492.mRNA1	2	0	1	0	0	0	0	1	1	3	
Slin_CCMP2456.gene10493.mRNA1	0	5	4	1	1	2	1	0	3	2	
Slin_CCMP2456.gene10494.mRNA1	3	1	3	1	1	2	0	1	3	2	
Slin_CCMP2456.gene105.mRNA1	0	6	3	4	2	1	1	4	4	2	
Slin_CCMP2456.gene1050.mRNA1	2	2	2	2	6	3	2	0	3	3	
Slin_CCMP2456.gene10501.mRNA1	2	0	1	1	0	2	0	2	2	1	
Slin_CCMP2456.gene10502.mRNA1	1	1	3	1	0	2	1	1	1	2	
Slin_CCMP2456.gene10503.mRNA1	5	3	2	3	4	3	1	3	1	3	
Slin_CCMP2456.gene10504.mRNA1	0	2	1	1	1	0	1	1	0	0	
Slin_CCMP2456.gene10506.mRNA1	0	1	0	0	1	0	0	1	0	0	
